t 1 2 jL0100 
2.8 3.73161 2.70081 4.2811
2.82 3.76269 2.67811 4.20616
2.84 3.79273 2.65482 4.1306
2.86 3.82172 2.63095 4.05446
2.88 3.84967 2.60652 3.97774
2.9 3.87657 2.58154 3.90048
2.92 3.90243 2.55602 3.82269
2.94 3.92724 2.52997 3.74439
2.96 3.95101 2.5034 3.6656
2.98 3.97373 2.47633 3.58635
3 3.99541 2.44875 3.50666
3.02 4.01604 2.4207 3.42654
3.04 4.03564 2.39216 3.34603
3.06 4.0542 2.36317 3.26513
3.08 4.07172 2.33372 3.18387
3.1 4.08821 2.30383 3.10226
3.12 4.10366 2.27351 3.02034
3.14 4.11808 2.24277 2.93812
3.16 4.13147 2.21161 2.85563
3.18 4.14384 2.18007 2.77287
3.2 4.15519 2.14813 2.68988
3.22 4.16551 2.11581 2.60667
3.24 4.17482 2.08313 2.52327
3.26 4.18312 2.0501 2.43969
3.28 4.19041 2.01672 2.35595
3.3 4.19669 1.983 2.27208
3.32 4.20197 1.94896 2.18809
3.34 4.20626 1.91461 2.104
3.36 4.20955 1.87996 2.01984
3.38 4.21185 1.84501 1.93563
3.4 4.21317 1.80979 1.85138
3.42 4.21352 1.77429 1.76711
3.44 4.21289 1.73853 1.68284
3.46 4.21129 1.70252 1.5986
3.48 4.20873 1.66628 1.5144
3.5 4.20522 1.6298 1.43026
3.52 4.20075 1.59311 1.34619
3.54 4.19535 1.5562 1.26223
3.56 4.189 1.5191 1.17839
3.58 4.18172 1.48181 1.09468
3.6 4.17351 1.44435 1.01112
3.62 4.16439 1.40671 0.927744
3.64 4.15436 1.36892 0.844555
3.66 4.14342 1.33099 0.761576
3.68 4.13158 1.29291 0.678824
3.7 4.11886 1.25471 0.596318
3.72 4.10525 1.21639 0.514076
3.74 4.09077 1.17796 0.432114
3.76 4.07542 1.13944 0.350451
3.78 4.05921 1.10083 0.269103
3.8 4.04215 1.06214 0.188088
3.82 4.02425 1.02339 0.107423
3.84 4.00552 0.984571 0.0271235
3.86 3.98596 0.945708 -0.0527926
3.88 3.96558 0.906806 -0.132309
3.9 3.9444 0.867875 -0.21141
3.92 3.92241 0.828923 -0.29008
3.94 3.89964 0.789961 -0.368302
3.96 3.87608 0.750997 -0.44606
3.98 3.85176 0.712042 -0.52334
4 3.82667 0.673103 -0.600125
4.02 3.80083 0.634191 -0.676402
4.04 3.77425 0.595315 -0.752154
4.06 3.74694 0.556483 -0.827367
4.08 3.7189 0.517705 -0.902027
4.1 3.69015 0.478988 -0.976118
4.12 3.6607 0.440344 -1.04963
4.14 3.63056 0.401779 -1.12254
4.16 3.59973 0.363303 -1.19485
4.18 3.56823 0.324924 -1.26653
4.2 3.53608 0.28665 -1.33757
4.22 3.50327 0.248492 -1.40797
4.24 3.46982 0.210455 -1.4777
4.26 3.43575 0.17255 -1.54675
4.28 3.40105 0.134784 -1.61512
4.3 3.36575 0.0971651 -1.68279
4.32 3.32986 0.0597017 -1.74975
4.34 3.29338 0.0224016 -1.81598
4.36 3.25633 -0.0147271 -1.88148
4.38 3.21871 -0.0516768 -1.94623
4.4 3.18055 -0.0884397 -2.01023
4.42 3.14185 -0.125008 -2.07345
4.44 3.10262 -0.161375 -2.1359
4.46 3.06287 -0.197532 -2.19755
4.48 3.02262 -0.233472 -2.25841
4.5 2.98188 -0.269188 -2.31845
4.52 2.94065 -0.304672 -2.37768
4.54 2.89896 -0.339919 -2.43608
4.56 2.85681 -0.37492 -2.49363
4.58 2.81421 -0.409668 -2.55035
4.6 2.77119 -0.444158 -2.6062
4.62 2.72774 -0.478381 -2.66119
4.64 2.68388 -0.512333 -2.71531
4.66 2.63962 -0.546005 -2.76854
4.68 2.59498 -0.579392 -2.82089
4.7 2.54997 -0.612487 -2.87234
4.72 2.50459 -0.645284 -2.92289
4.74 2.45887 -0.677778 -2.97252
4.76 2.4128 -0.709961 -3.02124
4.78 2.36642 -0.741828 -3.06903
4.8 2.31972 -0.773374 -3.11589
4.82 2.27272 -0.804592 -3.16182
4.84 2.22544 -0.835477 -3.2068
4.86 2.17787 -0.866024 -3.25083
4.88 2.13005 -0.896227 -3.29391
4.9 2.08197 -0.926081 -3.33603
4.92 2.03365 -0.95558 -3.37719
4.94 1.98511 -0.98472 -3.41738
4.96 1.93635 -1.0135 -3.45659
4.98 1.88739 -1.0419 -3.49483
5 1.83824 -1.06994 -3.53209
5.02 1.78891 -1.09759 -3.56836
5.04 1.73941 -1.12486 -3.60364
5.06 1.68976 -1.15175 -3.63793
5.08 1.63997 -1.17824 -3.67123
5.1 1.59004 -1.20433 -3.70353
5.12 1.54 -1.23003 -3.73483
5.14 1.48986 -1.25532 -3.76513
5.16 1.43962 -1.28021 -3.79443
5.18 1.38929 -1.30468 -3.82272
