t 1 2 jV0100 
15.9 -3.92958e-15 -1.4501e-17 -3.91508e-17
16.05 -3.92958e-15 -1.45597e-17 -3.91502e-17
16.2 -3.92958e-15 -1.46184e-17 -3.91496e-17
16.35 -3.92958e-15 -1.46771e-17 -3.91491e-17
16.5 -3.92958e-15 -1.47359e-17 -3.91485e-17
16.65 -3.92958e-15 -1.47946e-17 -3.91479e-17
16.8 -3.92958e-15 -1.48533e-17 -3.91473e-17
16.95 -3.92958e-15 -1.4912e-17 -3.91467e-17
17.1 -3.92958e-15 -1.49707e-17 -3.91461e-17
17.25 -3.92958e-15 -1.50295e-17 -3.91455e-17
17.4 -3.92958e-15 -1.50882e-17 -3.91449e-17
17.55 -3.92958e-15 -1.51469e-17 -3.91444e-17
17.7 -3.92958e-15 -1.52056e-17 -3.91438e-17
17.85 -3.92958e-15 -1.52643e-17 -3.91432e-17
18 -3.92958e-15 -1.5323e-17 -3.91426e-17
18.15 -3.92958e-15 -1.53818e-17 -3.9142e-17
18.3 -3.92958e-15 -1.54405e-17 -3.91414e-17
18.45 -3.92958e-15 -1.54992e-17 -3.91408e-17
18.6 -3.92958e-15 -1.55579e-17 -3.91402e-17
18.75 -3.92958e-15 -1.56166e-17 -3.91397e-17
18.9 -3.92958e-15 -1.56753e-17 -3.91391e-17
19.05 -3.92958e-15 -1.5734e-17 -3.91385e-17
19.2 -3.92958e-15 -1.57927e-17 -3.91379e-17
19.35 -3.92958e-15 -1.58514e-17 -3.91373e-17
19.5 -3.92958e-15 -1.59101e-17 -3.91367e-17
19.65 -3.92958e-15 -1.59688e-17 -3.91361e-17
19.8 -3.92958e-15 -1.60275e-17 -3.91355e-17
19.95 -3.92958e-15 -1.60862e-17 -3.9135e-17
